job_title,experience_level,employment_type,work_models,work_year,employee_residence,salary,salary_currency,salary_in_usd,company_location,company_size,remote_ratio
Data Engineer,MI,FT,Remote,2024,US,148100,USD,148100,US,M,100
Data Engineer,MI,FT,Remote,2024,US,98700,USD,98700,US,M,100
Data Scientist,SE,FT,Remote,2024,US,140032,USD,140032,US,M,100
Data Scientist,SE,FT,Remote,2024,US,100022,USD,100022,US,M,100
BI Developer,MI,FT,On-site,2024,US,120000,USD,120000,US,M,0
BI Developer,MI,FT,On-site,2024,US,62100,USD,62100,US,M,0
Research Analyst,EN,FT,On-site,2024,US,250000,USD,250000,US,M,0
Research Analyst,EN,FT,On-site,2024,US,150000,USD,150000,US,M,0
Data Engineer,EX,FT,Remote,2024,US,219650,USD,219650,US,M,100
Data Engineer,EX,FT,Remote,2024,US,136000,USD,136000,US,M,100
Business Intelligence Developer,MI,FT,On-site,2024,US,87800,USD,87800,US,M,0
Business Intelligence Developer,MI,FT,On-site,2024,US,76300,USD,76300,US,M,0
Data Scientist,MI,FT,Remote,2024,US,148100,USD,148100,US,M,100
Data Scientist,MI,FT,Remote,2024,US,98700,USD,98700,US,M,100
Data Engineer,MI,FT,On-site,2024,US,145500,USD,145500,US,M,0
Data Engineer,MI,FT,On-site,2024,US,93000,USD,93000,US,M,0
Data Scientist,MI,FT,On-site,2024,US,85000,USD,85000,US,M,0
Data Scientist,MI,FT,On-site,2024,US,75000,USD,75000,US,M,0
Data Scientist,MI,FT,On-site,2024,US,105000,USD,105000,US,M,0
Data Scientist,MI,FT,On-site,2024,US,70000,USD,70000,US,M,0
Data Engineer,SE,FT,On-site,2024,US,204662,USD,204662,US,M,0
Data Engineer,SE,FT,On-site,2024,US,184662,USD,184662,US,M,0
Data Scientist,MI,FT,On-site,2024,US,179000,USD,179000,US,M,0
Data Scientist,MI,FT,On-site,2024,US,112000,USD,112000,US,M,0
Data Analyst,EN,FT,On-site,2024,US,115000,USD,115000,US,M,0
Data Analyst,EN,FT,On-site,2024,US,85000,USD,85000,US,M,0
Director of Data Science,EX,FT,On-site,2024,US,225000,USD,225000,US,M,0
Director of Data Science,EX,FT,On-site,2024,US,180000,USD,180000,US,M,0
MLOps Engineer,SE,FT,On-site,2024,US,175000,USD,175000,US,M,0
MLOps Engineer,SE,FT,On-site,2024,US,110000,USD,110000,US,M,0
Machine Learning Scientist,SE,FT,On-site,2024,US,252000,USD,252000,US,M,0
Machine Learning Scientist,SE,FT,On-site,2024,US,157500,USD,157500,US,M,0
Machine Learning Engineer,SE,FT,On-site,2024,US,267900,USD,267900,US,M,0
Machine Learning Engineer,SE,FT,On-site,2024,US,234700,USD,234700,US,M,0
Data Analyst,EN,FT,On-site,2024,US,195500,USD,195500,US,M,0
Data Analyst,EN,FT,On-site,2024,US,68000,USD,68000,US,M,0
Data Science Manager,SE,FT,Remote,2024,US,120000,USD,120000,US,M,100
Data Science Manager,SE,FT,Remote,2024,US,90000,USD,90000,US,M,100
Data Scientist,SE,FT,On-site,2024,US,242000,USD,242000,US,M,0
Data Scientist,SE,FT,On-site,2024,US,106200,USD,106200,US,M,0
Machine Learning Engineer,SE,FT,On-site,2024,US,215000,USD,215000,US,M,0
Machine Learning Engineer,SE,FT,On-site,2024,US,146900,USD,146900,US,M,0
Applied Scientist,MI,FT,On-site,2024,US,222200,USD,222200,US,L,0
Applied Scientist,MI,FT,On-site,2024,US,136000,USD,136000,US,L,0
Data Scientist,MI,FT,Remote,2024,US,246000,USD,246000,US,M,100
Data Scientist,MI,FT,Remote,2024,US,190000,USD,190000,US,M,100
Data Engineer,MI,FT,Remote,2024,US,165000,USD,165000,US,M,100
Data Engineer,MI,FT,Remote,2024,US,129600,USD,129600,US,M,100
Business Intelligence Analyst,MI,FT,On-site,2024,US,200400,USD,200400,US,M,0
Business Intelligence Analyst,MI,FT,On-site,2024,US,126900,USD,126900,US,M,0
Machine Learning Engineer,SE,FT,Remote,2024,US,322000,USD,322000,US,M,100
Machine Learning Engineer,SE,FT,Remote,2024,US,230000,USD,230000,US,M,100
Data Analyst,SE,FT,On-site,2024,US,175520,USD,175520,US,M,0
Data Analyst,SE,FT,On-site,2024,US,103786,USD,103786,US,M,0
Analytics Engineer,SE,FT,Remote,2024,US,170000,USD,170000,US,M,100
Analytics Engineer,SE,FT,Remote,2024,US,130000,USD,130000,US,M,100
Data Scientist,SE,FT,On-site,2024,US,195000,USD,195000,US,M,0
Data Scientist,SE,FT,On-site,2024,US,146900,USD,146900,US,M,0
Data Scientist,MI,FT,Remote,2024,US,170400,USD,170400,US,M,100
Data Scientist,MI,FT,Remote,2024,US,106500,USD,106500,US,M,100
Data Analyst,MI,FT,On-site,2024,US,134500,USD,134500,US,M,0
Data Analyst,MI,FT,On-site,2024,US,100000,USD,100000,US,M,0
Data Engineer,MI,FT,On-site,2024,US,159000,USD,159000,US,M,0
Data Engineer,MI,FT,On-site,2024,US,111300,USD,111300,US,M,0
Machine Learning Engineer,MI,FT,On-site,2024,US,173400,USD,173400,US,M,0
Machine Learning Engineer,MI,FT,On-site,2024,US,99100,USD,99100,US,M,0
Business Intelligence Engineer,SE,FT,On-site,2024,US,185000,USD,185000,US,L,0
Business Intelligence Engineer,SE,FT,On-site,2024,US,79600,USD,79600,US,L,0
Data Science,EX,FT,Remote,2024,US,323700,USD,323700,US,M,100
Data Science,EX,FT,Remote,2024,US,190500,USD,190500,US,M,100
Data Scientist,SE,FT,On-site,2024,US,218000,USD,218000,US,M,0
Data Scientist,SE,FT,On-site,2024,US,145000,USD,145000,US,M,0
Research Scientist,SE,FT,On-site,2024,US,258100,USD,258100,US,M,0
Research Scientist,SE,FT,On-site,2024,US,151900,USD,151900,US,M,0
Data Science,MI,FT,On-site,2024,US,179000,USD,179000,US,M,0
Data Science,MI,FT,On-site,2024,US,106500,USD,106500,US,M,0
Data Scientist,MI,FT,On-site,2024,US,212800,USD,212800,US,L,0
